Episode,Score,MaxTile,Moves,Duration_Sec,N_Empty,N_Max,N_Snake,N_Merge,N_Corner,N_Neigh,P_Empty,P_Max,P_Snake,P_Merge,P_Corner,P_Neigh
146,3940,256,319,1.0354,2.36259,2.92148,2.19169,1.09808,1.07791,1.71813,0.97706,2.65361,2.27527,1.04624,0.71351,1.89444
147,6244,512,434,1.4348,2.3697,2.93031,2.19802,1.09973,1.08043,1.72308,0.97929,2.66411,2.28373,1.05,0.71351,1.90181
148,7152,512,488,1.6057,2.37831,2.93965,2.20467,1.10258,1.08467,1.72845,0.98177,2.67668,2.29466,1.05338,0.71351,1.91144
149,7192,512,493,1.6091,2.38471,2.94608,2.20917,1.10472,1.08517,1.732,0.9868,2.69835,2.31289,1.05969,0.71392,1.92427
150,15780,1024,937,3.1437,2.40738,2.98312,2.23455,1.11306,1.09201,1.74975,0.99264,2.72389,2.33407,1.06601,0.7185,1.93993
151,6136,512,437,1.4751,2.41814,2.99714,2.24429,1.11605,1.09642,1.75641,0.99454,2.72997,2.33896,1.0679,0.719,1.94394
152,12632,1024,765,2.999,2.43784,3.02428,2.26348,1.122,1.1085,1.76878,0.99866,2.75165,2.35652,1.07315,0.7241,1.95719
153,6104,512,429,1.4151,2.451,3.03918,2.27373,1.12553,1.11093,1.7773,1.00012,2.75963,2.36312,1.07546,0.7241,1.96214
154,5968,512,432,1.4379,2.46188,3.05153,2.28242,1.12893,1.11362,1.78378,1.00242,2.76936,2.37098,1.07783,0.7251,1.96935
155,7624,512,526,1.7176,2.47283,3.06115,2.28904,1.13074,1.11679,1.78748,1.00637,2.78629,2.38488,1.0819,0.7251,1.98205
156,3484,256,291,1.019,2.48204,3.06864,2.29414,1.13145,1.11704,1.79175,1.00748,2.7916,2.38944,1.08317,0.7261,1.98618
157,12912,1024,779,2.4808,2.49299,3.08009,2.302,1.13419,1.1277,1.79602,1.0147,2.82776,2.41835,1.09048,0.72952,2.01003
158,14432,1024,843,2.7754,2.50712,3.09951,2.31607,1.13974,1.13723,1.80472,1.02127,2.85778,2.44284,1.09769,0.73098,2.03172
159,12116,1024,717,2.3652,2.52272,3.12166,2.33088,1.14422,1.13593,1.81761,1.02667,2.88062,2.46171,1.10426,0.73185,2.04642
160,12704,1024,752,2.5066,2.53782,3.145,2.34743,1.15013,1.13784,1.83,1.03215,2.90313,2.4804,1.10947,0.73235,2.06172
161,6996,512,470,1.6065,2.55404,3.16674,2.36286,1.15462,1.14797,1.83933,1.0332,2.90683,2.48334,1.11019,0.73235,2.06378
162,7088,512,483,1.633,2.56463,3.17892,2.37059,1.15883,1.15293,1.84348,1.03688,2.91999,2.49466,1.11406,0.73285,2.07397
